Subject,System,ticket_id
REASON = DBI_ERR_DN_INVAL_CLASSNAME from CHG-UTRA-CAR,Distributed Unit,de06846d-21a8-4cb2-9db9-de04e813a47f
IM1219111_eNB_LUA_SLR4.5P0_Sleeping cell issue on all 3 LTE1800 BAND,Distributed Unit,bbbb7edf-b3f1-496c-a29d-f384d2f372fc
SLR4.5.0.P1 - Interfrequency Periodic ANR - EUTRA-PRD -> Purpose StrongestCells CLI changes were not reflected on interfrequency ANR measurement configurations,Distributed Unit,0a22f65b-4db8-4764-a2bd-ada5a720cd73
IFHO 800-> 1800 enabled after SLR 6.0 upgrade,Distributed Unit,b11270ed-ab53-4993-9588-c8839aa5dcc1
SLR4.5.0.P1 - CA 1800/800  : eNB activates CA but delays data scheduling on SCC until 100-150 ms later,Distributed Unit,23ac113d-d85f-4701-b49d-96c72233944d
SLR4.5.0.P1 - CA 1800/800 -measCycleSCell-r10 : sf1280 present in RRC Reconfiguration message,Distributed Unit,e66bf2d5-29da-4aea-9bd8-1b2b93e52033
Restoration function doesn't work as per design impact doc,Distributed Unit,6071594a-7f4b-4183-834d-759db7662e4b
MRO-012-B feature counter (TooLateHoRlfBeforeTriggeringAtSetup) doesn't peg,Distributed Unit,772f54fc-6d99-41b3-a0d0-5c14b8f07440
EnodeB in cyclic restart mode post SLR6.0 upgrade,Distributed Unit,319a5d32-c777-4443-bebc-8b9a74f81fbf
SLR6.0.0-Idle UE distribution feature does not seem to be working,Distributed Unit,6ab59dbf-4749-4792-a02c-4114fc1bd670
"S1AP Reset on the VPN1, even though VPN1 never failed",Distributed Unit,50be36a7-9e7b-45de-aef4-3f211cb2a266
CA 800/1800 Fairness Low Throughput,Distributed Unit,2023096f-b13a-4760-af98-11996f7d4b16
3UK_LTE_eNB_SLR 7.0_LBand sites_RRH function fail alarm intermittent for all RRH with SW notifications(eccb=ACT & eccb=DEACT),Distributed Unit,4a89511b-95c9-472e-91db-ee983eef577e
aPeriodic Reports sent with MCS29 increment incorrect counter (LUA),Distributed Unit,e3773020-4ddb-4e92-9ccb-3d86dcc65285
XML file size have been significantly reduced for SLR7.0.0_P1 SW without any change in ManagedNRM(currently set to SLR7.0.0_P0 PLD filter) file,Distributed Unit,010c0bee-a321-470e-a06c-3aee42dd816b
LTE Acc Degradation under the counter Erabinitfailnbr Cp Cc fail & Erabinitfailnbr Rrc Sig To,Distributed Unit,d89c1c03-7955-43f4-a2e7-1f212be577f4
