Subject,System,ticket_id
tac incident l2tp retransmissions,PGW,8a9f91de-637f-4fa2-9fc3-9da839877d3e
stale tunnel carrying traffic l2tp,PGW,f6fea05a-150f-4987-a33e-7ff6c5d6d382
l2tp authentication chap md5 reject pap clarification,PGW,b8caa25c-f82b-4bc1-87d3-03db411e7cb1
ipv6 pool usage fault pgw,PGW,ebfdd5a4-eff3-4049-8a70-150c90e02594
err_pcef stats increasing measuring smapn,PGW,48627b04-f424-49d7-84c6-6bbd161fb118
rulebase creation error exceed filter limit,PGW,d4d03082-3002-4b56-bdf0-0349eabf35b5
using ccpf switch cdr,PGW,c430e262-3a58-44ff-b8cd-a69a4ffd4aa4
iscm block fail please refer previous ticket ,PGW,48906be7-581a-4a1f-869e-9cecad05992b
pgw incorrect user password radius failure scenario,PGW,831947e3-450b-470d-8a38-5c250053b205
flt 7005 visible message history,PGW,f1f9f8a3-7fc1-45b3-96e8-d3a390af6ebd
dns naptra query apn failing,PGW,1e419595-c220-47f2-9890-e874a1e27276
pgw lena3 restart,PGW,9a06af04-bde7-4f97-b930-ffd92c5a4578
threshold crossing alarm change request,PGW,7bd9cf72-d9d6-4da0-9b40-df0b7dbf1293
pgw ims cdrs,PGW,848ce4c9-9081-4d02-ac51-90df7a6c727f
lema cpu high usage syslog,PGW,0b3f4d9a-09ca-4ee4-8d26-1636be700db8
3gppvendor id,PGW,ed8208f3-a8a6-4481-a8ba-672efab44d7f
delete hang customers pgw apn disabled,PGW,3dfd7887-200f-412f-804a-9949c8d4a949
pgw radius accounting request use class field,PGW,589f17b8-3af0-4681-86e5-453d99ca6d11
pgw offloading subscribers ip pool hit ddos attacks,PGW,3385ddac-6f76-4d8b-bb23-7b33cd1f517c
radius account server flapping several times,PGW,69f6fb13-d2bc-4866-8d9e-de9121bfbccd
connectivity issues across pgw swedish customer,PGW,5aee389a-5730-4fa8-8e8a-a1b95e451cc6
loss traffic subscribers,PGW,c52aaf2a-fa57-4240-be11-50d5cfa37ef7
apn issue pgw,PGW,8fcaab98-0ce0-4f2b-9b0a-469ef18048c9
pgw behaviour receiving diameter result code busy 3004 aaa server s6b interface,PGW,1fce1c1e-da33-4861-9d22-e067e126fd45
pgw volte failure scenario,PGW,821b80f3-af8e-4c1d-8b99-65b4fbadea2f
pcap file caused np_ovld alarm,PGW,7395cca0-2978-4c16-b28c-6ffb301571d4
path fail alarm pgw lema1 lena3,PGW,e61a5740-0c6a-4f78-8403-1da91a275702
a1661 internal resource limit f7007 ne event limit fault pgw,PGW,88a19507-8de8-44c4-8f80-6ce022aebd95
packet lost pgw,PGW,b93ca617-19a6-49a8-a973-911a716f56f8
pgw li configuration deleted,PGW,ad843b6c-b487-4ccb-9756-9bd9b72867b5
total number addresses available ue ip pool,PGW,ce3c42c6-0a8b-4393-9e04-6272fb7cc0b4
increased bact mob mvno net,PGW,ba65ac9f-840a-4735-8e60-0b5a4c115f24
leda failed rebooting restart,PGW,1e9a53d6-82ca-4d64-b675-dfebfbc580ea
ue ip range split treatment,PGW,b6827626-8fbe-42bf-8e33-072feca14f2b
a1502 function fail alarm,PGW,1f0c94a9-bd8f-4c8d-8bda-8fc56689943a
pgw zero ip allocation roamers,PGW,2bc82c95-6f99-492b-abfd-ff9c43330849
pgw response zero ambr,PGW,f9a8ca55-a81d-497b-af32-d0f4df618a1e
ip routing issues pgw internet gi migration tests,PGW,061d9bb1-7bf4-4e41-8b86-e300d1636a91
traffic drop pgw,PGW,a368efb6-ab78-40cb-8d33-7bcfa539d6eb
missing user location information gw cdr record,PGW,bce68806-7662-48e4-93ab-b9128438fe15
pod messagin failing pgw responds nak w correction,PGW,1f69929d-bd9e-48d8-a0a2-8f20788c38c8
pod messaging failing pgw responds nak w correction,PGW,3cb3974c-c69e-4f55-a248-f86b73c92f89
accounting interim missing l2tp,PGW,4eed589e-bdbc-4a54-a948-4c19590452ef
observed alrm dimm_halt alrm fan_halt alrm power_halt ,PGW,5446e293-8b5f-41b4-945e-2084e3359344
check ntp source,PGW,27347ce5-19ac-460f-9342-605a27a79bf1
