Subject,System,ticket_id
LSM4.5 - B04 Firmware & Software List Import/Export,Operation System Support,47a21468-699b-4f7f-ab15-015aefcd63d6
VoLTE: CE-7a in BM0SBC11 in wrong state,Unified Access Gateway,b237e521-9c82-4382-baed-2f025ba09380
Server Group 10 Configuration on UAG,Unified Access Gateway,f8b6ff21-3756-48b9-9dca-2b6c027c432a
Query about AVP's on S-CSCF,Call Session Control Function,e10408b3-5d33-4e50-8cdc-d511f6009320
Query about AVP's on S-CSCF,Call Session Control Function,b6017fd8-7b62-48b7-95f7-b9c99cd335fb
Samsung TAC Incident (T160419009)- L2TP retransmissions,Gateway General Packet Radio Service,8a9f91de-637f-4fa2-9fc3-9da839877d3e
HH0UAG11 - MP card OOS causing media guard fail,Unified Access Gateway,bffb601c-05f0-4258-9b97-cbcbb43276a8
Stale Tunnel carrying traffic - L2TP,Gateway General Packet Radio Service,f6fea05a-150f-4987-a33e-7ff6c5d6d382
Decrease in VMIG registrations after CSCF 2.2.0.1 is loaded,Call Session Control Function,ed9eda93-1879-4177-a7b8-26ba6f508764
VoLTE SRVCC failures on HH0SBC12 after bringing live,Unified Access Gateway,81bc36e3-8c9b-4874-b119-95f10684f953
HH0UAG11 - MP card OOS causing media guard fail,Unified Access Gateway,444abf4e-a2bb-44b0-af29-53f380ea2818
VoLTE failure due to RRE racing with ERAB setup,,528d448c-b173-4d44-af2c-844647ae5146
Infoblox DNS Logs,Domain Name Service,99b2b063-5cda-4772-9b03-f487dda690d2
No Operation logs in LSMR-Operation History for commands run via eNB Telnet,Operation System Support,5dcd121d-3ca1-426b-812a-9829fea2b5cc
PDCCH allocation algoritm,,e8e8bd51-f298-4966-b0d2-a1c1f4ad82c4
Erasure Rate,,1746af03-ff41-4d55-afa7-a2256065a9db
Unable to access the LS-LSMR via VPN/DCN connectivity,Operation System Support,b3408340-50ad-4777-ae7e-52a636aeadbb
eNB SLR4.5 P1 - Call Drop Ratio Degradation,,74dfae8a-1a6e-48ed-b748-de7191f54843
eNB SLR4.5 P1 -  Increase in Psredirattutran,,e799fb65-1d0a-43f0-9be1-e2c254a0750c
High number of subs in RNCF/DHNCF/LHNCF state,C-MME/SGSN,e17171c8-fedf-4b48-98a0-64d581ab7254
LS-LSMR When importing the neighbour file with '.csv' an error occurs,Operation System Support,b6fb5d8f-7997-4176-8eae-2d3bc718307a
REASON = DBI_ERR_DN_INVAL_CLASSNAME from CHG-UTRA-CAR,Distributed Unit,5358fe0d-cd70-443d-8eea-08910a91f79a
IM1219111_eNB_LUA_SLR4.5P0_Sleeping cell issue on all 3 LTE1800 BAND,Distributed Unit,c628aafb-b2ef-46c8-a0a4-8d271b6d808d
